,Age,YrsOfExp,Level,AISelect,AIComplex,AIAcc,AISent
13038,55-64,32.0,Veteran/Executive,Monthly,"Good, but not great",Somewhat distrust,Indifferent
13039,35-44,16.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
13040,25-34,7.0,Senior Developer,Weekly,Very well,Somewhat trust,Favorable
13041,25-34,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
13042,25-34,5.0,Mid-Level Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
13043,35-44,20.0,Principal,Weekly,Very poor,Highly distrust,Indifferent
13044,35-44,17.0,Principal,Monthly,I don't use AI for complex tasks,Somewhat trust,Favorable
13045,45-54,24.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
13046,35-44,16.0,Principal,Daily,Neither good or bad,Somewhat trust,Very favorable
13047,18-24,2.0,Junior Developer,Monthly,"Good, but not great",Somewhat trust,Unfavorable
13048,35-44,14.0,Staff/Lead Developer,Weekly,Bad,Neither trust nor distrust,Favorable
13049,25-34,6.0,Mid-Level Developer,Daily,Very well,Highly trust,Very favorable
13050,35-44,17.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Somewhat trust,Indifferent
13051,25-34,2.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
13052,25-34,8.0,Senior Developer,Weekly,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
13053,25-34,14.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
13054,35-44,6.0,Mid-Level Developer,Weekly,Very poor,Neither trust nor distrust,Favorable
13055,45-54,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
13056,45-54,27.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
13057,25-34,3.0,Junior Developer,Daily,Bad,Somewhat distrust,Indifferent
13058,45-54,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,Very poor,Highly distrust,Unfavorable
13059,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
13060,45-54,27.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13061,25-34,8.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
13062,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Bad,Somewhat distrust,Indifferent
13063,18-24,4.0,Mid-Level Developer,Weekly,Very poor,Highly distrust,Indifferent
13064,25-34,8.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
13065,25-34,10.0,Senior Developer,Weekly,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
13066,25-34,10.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Very unfavorable
13067,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
13068,55-64,36.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Favorable
13069,25-34,11.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
13070,35-44,14.0,Staff/Lead Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
13071,35-44,19.0,Principal,Daily,Very poor,Highly distrust,Favorable
13072,25-34,9.0,Senior Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
13073,35-44,23.0,Distinguished Engineer/Fellow,Daily,Bad,Neither trust nor distrust,Favorable
13074,35-44,22.0,Distinguished Engineer/Fellow,Weekly,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
13075,35-44,9.0,Senior Developer,Daily,Bad,Somewhat trust,Very favorable
13076,18-24,3.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13077,45-54,17.0,Principal,Daily,Very poor,Highly distrust,Indifferent
13078,25-34,9.0,Senior Developer,Daily,Very poor,Somewhat distrust,Indifferent
13079,45-54,10.0,Senior Developer,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
13080,35-44,9.0,Senior Developer,I don't plan to use AI,Very poor,Somewhat distrust,Indifferent
13081,35-44,19.0,Principal,I plan to use AI soon,Very poor,Highly distrust,Indifferent
13082,35-44,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13083,35-44,7.0,Senior Developer,Daily,"Good, but not great",Somewhat distrust,Favorable
13084,35-44,14.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat trust,Favorable
13085,35-44,25.0,Distinguished Engineer/Fellow,Monthly,I don't use AI for complex tasks,Highly distrust,Favorable
13086,45-54,28.0,Distinguished Engineer/Fellow,Daily,Very poor,Somewhat distrust,Very favorable
13087,>=65,45.0,Veteran/Executive,Weekly,Neither good or bad,Somewhat distrust,Indifferent
13088,45-54,35.0,Veteran/Executive,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
13089,25-34,10.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
13090,25-34,9.0,Senior Developer,Monthly,"Good, but not great",Highly distrust,Very unfavorable
13091,35-44,11.0,Staff/Lead Developer,Monthly,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
13092,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13093,45-54,18.0,Principal,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
13094,35-44,13.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat trust,Favorable
13095,35-44,2.0,Junior Developer,I don't plan to use AI,Bad,Highly distrust,Unfavorable
13096,55-64,40.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
13097,25-34,4.0,Mid-Level Developer,I plan to use AI soon,Very poor,Highly distrust,Indifferent
13098,35-44,25.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat trust,Very favorable
13099,25-34,9.0,Senior Developer,Weekly,Bad,Somewhat trust,Favorable
13100,35-44,10.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Very favorable
13101,35-44,10.0,Senior Developer,Daily,Bad,Highly distrust,Favorable
13102,25-34,12.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13103,25-34,2.0,Junior Developer,Monthly,Very poor,Somewhat distrust,Indifferent
13104,25-34,10.0,Senior Developer,Daily,Very well,Somewhat trust,Very favorable
13105,25-34,6.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Favorable
13106,25-34,3.0,Junior Developer,Monthly,Neither good or bad,Neither trust nor distrust,Favorable
13107,45-54,30.0,Distinguished Engineer/Fellow,Monthly,Very poor,Highly distrust,Unsure
13108,18-24,2.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
13109,35-44,5.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13110,25-34,13.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Unfavorable
13111,35-44,16.0,Principal,Monthly,Very poor,Somewhat distrust,Indifferent
13112,25-34,10.0,Senior Developer,Monthly,Very poor,Somewhat distrust,Indifferent
13113,25-34,7.0,Senior Developer,Weekly,Neither good or bad,Somewhat distrust,Unfavorable
13114,35-44,12.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
13115,25-34,4.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Indifferent
13116,35-44,3.0,Junior Developer,Monthly,Bad,Somewhat distrust,Very unfavorable
13117,35-44,7.0,Senior Developer,Monthly,Bad,Highly distrust,Unfavorable
13118,35-44,15.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
13119,35-44,19.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
13120,25-34,1.0,Junior Developer,I plan to use AI soon,Neither good or bad,Neither trust nor distrust,Indifferent
13121,45-54,25.0,Distinguished Engineer/Fellow,Monthly,Very poor,Neither trust nor distrust,Favorable
13122,45-54,30.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
13123,25-34,9.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
13124,35-44,24.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat distrust,Favorable
13125,45-54,15.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Very favorable
13126,35-44,10.0,Senior Developer,I plan to use AI soon,Bad,Neither trust nor distrust,Favorable
13127,35-44,13.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13128,25-34,11.0,Staff/Lead Developer,I plan to use AI soon,Bad,Neither trust nor distrust,Indifferent
13129,35-44,13.0,Staff/Lead Developer,Weekly,"Good, but not great",Neither trust nor distrust,Very favorable
13130,45-54,21.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
13131,45-54,7.0,Senior Developer,Daily,Very poor,Highly distrust,Favorable
13132,25-34,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
13133,35-44,15.0,Staff/Lead Developer,Weekly,I don't use AI for complex tasks,Somewhat distrust,Favorable
13134,35-44,19.0,Principal,Daily,Bad,Somewhat trust,Very favorable
13135,45-54,29.0,Distinguished Engineer/Fellow,Weekly,Bad,Highly distrust,Indifferent
13136,25-34,8.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
13137,35-44,24.0,Distinguished Engineer/Fellow,Monthly,"Good, but not great",Highly trust,Favorable
13138,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
13139,45-54,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
13140,35-44,14.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13141,25-34,7.0,Senior Developer,Daily,Very poor,Highly distrust,Very favorable
13142,25-34,10.0,Senior Developer,Weekly,Very poor,Somewhat distrust,Indifferent
13143,18-24,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13144,>=65,30.0,Distinguished Engineer/Fellow,Monthly,Bad,Somewhat distrust,Favorable
13145,25-34,15.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
13146,25-34,7.0,Senior Developer,Monthly,Bad,Somewhat distrust,Favorable
13147,35-44,23.0,Distinguished Engineer/Fellow,I don't plan to use AI,Neither good or bad,Somewhat distrust,Indifferent
13148,35-44,26.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat distrust,Very favorable
13149,>=65,25.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Somewhat trust,Favorable
13150,>=65,35.0,Veteran/Executive,Daily,Bad,Neither trust nor distrust,Indifferent
13151,45-54,9.0,Senior Developer,I don't plan to use AI,Neither good or bad,Somewhat trust,Favorable
13152,45-54,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
13153,55-64,25.0,Distinguished Engineer/Fellow,Daily,Very well,Highly trust,Very favorable
13154,35-44,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13155,18-24,2.0,Junior Developer,Monthly,Very poor,Highly distrust,Unfavorable
13156,45-54,28.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
13157,45-54,20.0,Principal,Monthly,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
13158,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13159,35-44,14.0,Staff/Lead Developer,Weekly,Bad,Neither trust nor distrust,Indifferent
13160,25-34,15.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13161,35-44,17.0,Principal,Daily,Very poor,Somewhat distrust,Favorable
13162,35-44,11.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Unsure
13163,35-44,20.0,Principal,Daily,Neither good or bad,Somewhat trust,Very favorable
13164,35-44,23.0,Distinguished Engineer/Fellow,Daily,Bad,Neither trust nor distrust,Favorable
13165,35-44,19.0,Principal,Daily,Very poor,Somewhat trust,Very favorable
13166,35-44,15.0,Staff/Lead Developer,Monthly,I don't use AI for complex tasks,Somewhat trust,Favorable
13167,35-44,18.0,Principal,Daily,Bad,Neither trust nor distrust,Unsure
13168,25-34,16.0,Principal,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
13169,35-44,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
13170,45-54,25.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Indifferent
13171,35-44,3.0,Junior Developer,Daily,"Good, but not great",Highly trust,Very favorable
13172,35-44,17.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
13173,35-44,20.0,Principal,Daily,Neither good or bad,Highly trust,Very favorable
13174,25-34,11.0,Staff/Lead Developer,Daily,Very poor,Highly distrust,Unfavorable
13175,35-44,15.0,Staff/Lead Developer,Monthly,Bad,Neither trust nor distrust,Indifferent
13176,35-44,7.0,Senior Developer,Daily,Very poor,Somewhat distrust,Indifferent
13177,55-64,36.0,Veteran/Executive,Weekly,"Good, but not great",Somewhat distrust,Favorable
13178,55-64,32.0,Veteran/Executive,Daily,Very poor,Somewhat distrust,Favorable
13179,25-34,7.0,Senior Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
13180,35-44,15.0,Staff/Lead Developer,Daily,Very poor,Highly distrust,Favorable
13181,35-44,23.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat trust,Favorable
13182,35-44,17.0,Principal,Daily,Bad,Somewhat trust,Favorable
13183,25-34,11.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
13184,35-44,15.0,Staff/Lead Developer,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
13185,25-34,1.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13186,35-44,20.0,Principal,Daily,Very poor,Neither trust nor distrust,Indifferent
13187,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
13188,45-54,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
13189,45-54,31.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
13190,45-54,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
13191,35-44,12.0,Staff/Lead Developer,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Favorable
13192,35-44,18.0,Principal,Daily,Bad,Somewhat trust,Favorable
13193,35-44,10.0,Senior Developer,Monthly,Very poor,Somewhat distrust,Very unfavorable
13194,>=65,54.0,Veteran/Executive,Monthly,"Good, but not great",Somewhat trust,Very favorable
13195,25-34,3.0,Junior Developer,Weekly,Bad,Somewhat distrust,Favorable
13196,>=65,45.0,Veteran/Executive,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
13197,>=65,44.0,Veteran/Executive,Weekly,Bad,Somewhat distrust,Unfavorable
13198,25-34,7.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
13199,35-44,12.0,Staff/Lead Developer,Monthly,Bad,Somewhat distrust,Favorable
13200,25-34,14.0,Staff/Lead Developer,Weekly,I don't use AI for complex tasks,Neither trust nor distrust,Favorable
13201,18-24,2.0,Junior Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
13202,25-34,5.0,Mid-Level Developer,Monthly,Very poor,Somewhat distrust,Unfavorable
13203,>=65,46.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
13204,55-64,35.0,Veteran/Executive,Monthly,Very poor,Somewhat distrust,Indifferent
13205,45-54,30.0,Distinguished Engineer/Fellow,Daily,Very well,Highly trust,Very favorable
13206,25-34,6.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13207,25-34,10.0,Senior Developer,Daily,Bad,Highly distrust,Indifferent
13208,35-44,18.0,Principal,Daily,Very well,Somewhat trust,Very favorable
13209,25-34,15.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
13210,>=65,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
13211,45-54,30.0,Distinguished Engineer/Fellow,Monthly,Very poor,Somewhat distrust,Indifferent
13212,25-34,7.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13213,35-44,20.0,Principal,Weekly,Bad,Somewhat distrust,Favorable
13214,25-34,2.0,Junior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
13215,35-44,10.0,Senior Developer,Weekly,Very poor,Highly distrust,Unfavorable
13216,35-44,15.0,Staff/Lead Developer,Daily,Bad,Highly distrust,Favorable
13217,35-44,12.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13218,35-44,8.0,Senior Developer,Monthly,Bad,Somewhat distrust,Favorable
13219,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13220,45-54,25.0,Distinguished Engineer/Fellow,I plan to use AI soon,Neither good or bad,Somewhat trust,Indifferent
13221,35-44,15.0,Staff/Lead Developer,Weekly,Very poor,Somewhat distrust,Favorable
13222,25-34,5.0,Mid-Level Developer,Daily,Very poor,Somewhat distrust,Favorable
13223,45-54,28.0,Distinguished Engineer/Fellow,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
13224,25-34,9.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
13225,25-34,2.0,Junior Developer,Daily,Very poor,Neither trust nor distrust,Favorable
13226,>=65,40.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
13227,35-44,8.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
13228,25-34,4.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Favorable
13229,18-24,3.0,Junior Developer,Monthly,Bad,Highly distrust,Very unfavorable
13230,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13231,55-64,25.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat distrust,Indifferent
13232,55-64,28.0,Distinguished Engineer/Fellow,I plan to use AI soon,I don't use AI for complex tasks,Somewhat trust,Favorable
13233,25-34,10.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
13234,25-34,5.0,Mid-Level Developer,Monthly,"Good, but not great",Somewhat trust,Very favorable
13235,35-44,18.0,Principal,Daily,Bad,Neither trust nor distrust,Very favorable
13236,45-54,35.0,Veteran/Executive,Daily,Bad,Somewhat trust,Very favorable
13237,35-44,21.0,Distinguished Engineer/Fellow,Daily,Bad,Highly distrust,Favorable
13238,25-34,8.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
13239,25-34,7.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
13240,25-34,11.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13241,35-44,5.0,Mid-Level Developer,Daily,Bad,Neither trust nor distrust,Very favorable
13242,18-24,2.0,Junior Developer,Daily,Very well,Highly trust,Favorable
13243,25-34,5.0,Mid-Level Developer,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Indifferent
13244,25-34,7.0,Senior Developer,Daily,Bad,Highly distrust,Favorable
13245,25-34,13.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
13246,25-34,6.0,Mid-Level Developer,Daily,Very well,Somewhat trust,Very favorable
13247,18-24,6.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
13248,35-44,22.0,Distinguished Engineer/Fellow,Daily,Very poor,Somewhat distrust,Very unfavorable
13249,35-44,11.0,Staff/Lead Developer,Daily,I don't use AI for complex tasks,Somewhat trust,Favorable
13250,25-34,7.0,Senior Developer,Daily,Very poor,Somewhat distrust,Very favorable
13251,45-54,22.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Favorable
13252,55-64,12.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Very unfavorable
13253,35-44,17.0,Principal,Daily,Neither good or bad,Somewhat trust,Favorable
13254,35-44,17.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
13255,55-64,35.0,Veteran/Executive,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
13256,55-64,20.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13257,35-44,10.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Indifferent
13258,25-34,7.0,Senior Developer,I plan to use AI soon,"Good, but not great",Somewhat trust,Indifferent
13259,25-34,9.0,Senior Developer,Weekly,Bad,Highly distrust,Favorable
13260,18-24,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
13261,55-64,35.0,Veteran/Executive,I don't plan to use AI,Bad,Somewhat distrust,Unfavorable
13262,35-44,14.0,Staff/Lead Developer,Daily,"Good, but not great",Highly trust,Very favorable
13263,25-34,8.0,Senior Developer,Weekly,Bad,Neither trust nor distrust,Indifferent
13264,35-44,15.0,Staff/Lead Developer,Weekly,Bad,Somewhat distrust,Unfavorable
13265,25-34,6.0,Mid-Level Developer,Daily,Bad,Somewhat trust,Very favorable
13266,25-34,5.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13267,35-44,20.0,Principal,Weekly,Bad,Neither trust nor distrust,Favorable
13268,35-44,15.0,Staff/Lead Developer,Daily,Very poor,Highly distrust,Favorable
13269,35-44,17.0,Principal,Daily,Very poor,Highly distrust,Indifferent
13270,25-34,15.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat distrust,Favorable
13271,>=65,50.0,Veteran/Executive,I plan to use AI soon,I don't use AI for complex tasks,Highly distrust,Unfavorable
13272,35-44,18.0,Principal,Daily,Bad,Somewhat distrust,Very favorable
13273,18-24,3.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13274,45-54,30.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat trust,Favorable
13275,18-24,1.0,Junior Developer,Monthly,Neither good or bad,Neither trust nor distrust,Favorable
13276,25-34,7.0,Senior Developer,Daily,"Good, but not great",Somewhat distrust,Favorable
13277,45-54,13.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
13278,25-34,2.0,Junior Developer,Daily,Bad,Neither trust nor distrust,Favorable
13279,35-44,12.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
13280,25-34,3.0,Junior Developer,Monthly,Very poor,Highly distrust,Very unfavorable
13281,25-34,8.0,Senior Developer,Weekly,Neither good or bad,Neither trust nor distrust,Unfavorable
13282,35-44,12.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
13283,18-24,3.0,Junior Developer,Weekly,"Good, but not great",Somewhat trust,Very favorable
13284,35-44,13.0,Staff/Lead Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
13285,45-54,29.0,Distinguished Engineer/Fellow,I plan to use AI soon,"Good, but not great",Neither trust nor distrust,Favorable
13286,45-54,25.0,Distinguished Engineer/Fellow,Weekly,Very poor,Highly distrust,Very unfavorable
13287,35-44,17.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
13288,45-54,30.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat distrust,Very favorable
13289,35-44,19.0,Principal,Daily,Very poor,Highly distrust,Indifferent
13290,>=65,47.0,Veteran/Executive,Daily,Very poor,Highly distrust,Very favorable
13291,18-24,5.0,Mid-Level Developer,Monthly,Very poor,Highly distrust,Indifferent
13292,18-24,2.0,Junior Developer,Daily,Neither good or bad,Somewhat distrust,Favorable
13293,55-64,35.0,Veteran/Executive,Daily,Neither good or bad,Neither trust nor distrust,Favorable
13294,25-34,6.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Indifferent
13295,25-34,4.0,Mid-Level Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
13296,45-54,25.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Somewhat distrust,Unsure
13297,45-54,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
13298,35-44,24.0,Distinguished Engineer/Fellow,Daily,Very poor,Highly distrust,Favorable
13299,35-44,14.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat distrust,Indifferent
13300,25-34,2.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
13301,35-44,26.0,Distinguished Engineer/Fellow,I plan to use AI soon,I don't use AI for complex tasks,Somewhat trust,Favorable
13302,35-44,15.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat distrust,Favorable
13303,18-24,2.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Unsure
13304,25-34,10.0,Senior Developer,Weekly,Very poor,Somewhat distrust,Indifferent
13305,25-34,5.0,Mid-Level Developer,Weekly,Neither good or bad,Neither trust nor distrust,Indifferent
13306,18-24,5.0,Mid-Level Developer,Weekly,Bad,Somewhat trust,Favorable
13307,35-44,18.0,Principal,Daily,Neither good or bad,Somewhat trust,Very favorable
13308,55-64,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,Neither good or bad,Neither trust nor distrust,Unsure
13309,18-24,3.0,Junior Developer,Daily,Bad,Somewhat distrust,Favorable
13310,45-54,5.0,Mid-Level Developer,Daily,Bad,Neither trust nor distrust,Favorable
13311,25-34,7.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
13312,25-34,8.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Favorable
13313,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
13314,35-44,22.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
13315,35-44,16.0,Principal,Daily,Bad,Highly distrust,Very favorable
13316,25-34,8.0,Senior Developer,Daily,Very well,Somewhat trust,Very favorable
13317,45-54,12.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
13318,35-44,18.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
13319,18-24,2.0,Junior Developer,Monthly,Bad,Neither trust nor distrust,Unfavorable
13320,45-54,27.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
13321,35-44,12.0,Staff/Lead Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
13322,>=65,60.0,Veteran/Executive,Daily,Very well,Highly trust,Very favorable
13323,25-34,1.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
13324,45-54,28.0,Distinguished Engineer/Fellow,Weekly,Bad,Neither trust nor distrust,Favorable
13325,35-44,15.0,Staff/Lead Developer,Weekly,Bad,Somewhat trust,Favorable
13326,18-24,2.0,Junior Developer,Monthly,Bad,Somewhat distrust,Favorable
13327,25-34,2.0,Junior Developer,Daily,Bad,Somewhat trust,Very favorable
13328,55-64,35.0,Veteran/Executive,Daily,Bad,Somewhat distrust,Favorable
13329,35-44,15.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Unsure
13330,35-44,16.0,Principal,Weekly,"Good, but not great",Somewhat trust,Very favorable
13331,18-24,3.0,Junior Developer,Daily,Bad,Somewhat distrust,Favorable
13332,25-34,1.0,Junior Developer,Daily,Bad,Neither trust nor distrust,Favorable
